adc_file,source_file,mode,chunk_size,chunk_index,original_offset,original_size,compressed_size,compression_ratio,best_compressor,entropy,text_ratio,zero_ratio,unique_byte_count,feature_size_bytes
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1515,397148160,262144,80,0.00030517578125,zstd_10,1.8779894615960075,0.03131103515625,0.76043701171875,24,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1516,397410304,262144,8415,0.032100677490234375,zstd_19,4.471229129541718,1.0,0.0,34,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1517,397672448,262144,262144,1.0,store,7.999442855277724,0.3834190368652344,0.003780364990234375,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1518,397934592,262144,104,0.000396728515625,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1519,398196736,262144,278,0.00106048583984375,zstd_3,4.261305204008668,0.2701835632324219,0.22806930541992188,117,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1520,398458880,262144,1872,0.00714111328125,lzma_6,4.772440381102113,1.0,0.0,46,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1521,398721024,262144,183284,0.6991729736328125,lzma_6,7.294184306751385,0.45630645751953125,0.003047943115234375,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1522,398983168,262144,70,0.00026702880859375,zstd_10,1.7534509016363693,0.0416259765625,0.763916015625,18,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1523,399245312,262144,262144,1.0,store,7.9994326742058535,0.3831329345703125,0.003810882568359375,256,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1524,399507456,262144,8052,0.0307159423828125,zstd_19,4.479160984023085,1.0,0.0,34,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1525,399769600,262144,104,0.000396728515625,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1526,400031744,262144,1872,0.00714111328125,lzma_6,4.776069368394152,1.0,0.0,46,262144
results/phase3_interleaved/interleaved_256kb_oracle.adc,data/ml_data/phase3_interleaved_ml_artifact_512mb.bin,chunk_oracle_best_size,262144,1527,400293888,262144,104,0.000396728515625,zstd_19,0.0066727787465866726,0.000324249267578125,0.99957275390625,14,262144
